month,category,type,number
2016-12,Cars,Diesel,10364
2016-12,Cars,Petrol-Electric,10075
2016-12,Cars,Petrol-Electric (Plug-In),125
2016-12,Cars,Petrol-CNG,1682
2016-12,Cars,CNG,0
2016-12,Cars,Electric,12
2016-12,Cars,Diesel-Electric,22
2016-12,Taxis,Petrol,260
2016-12,Taxis,Diesel,23748
2016-12,Taxis,Petrol-Electric,2492
2016-12,Taxis,Petrol-CNG,1034
2016-12,Taxis,CNG,0
2016-12,Motor-cycles,Petrol,142437
2016-12,Motor-cycles,Electric,2
2016-12,Goods & Other Vehicles,Petrol,7123
2016-12,Goods & Other Vehicles,Diesel,136809
2016-12,Goods & Other Vehicles,Petrol-Electric,1
2016-12,Goods & Other Vehicles,Petrol-CNG,5
2016-12,Goods & Other Vehicles,CNG,3
2016-12,Goods & Other Vehicles,Electric,18
2016-12,Goods & Other Vehicles,Diesel-Electric,7
2016-12,Buses,Petrol,73
2016-12,Buses,Diesel,18247
2016-12,Buses,Petrol-CNG,2
2016-12,Buses,CNG,12
2016-12,Buses,Electric,1
2016-12,Buses,Diesel-Electric,3
2017-01,Cars,Petrol,577907
2017-01,Cars,Diesel,10888
2017-01,Cars,Petrol-Electric,10848
2017-01,Cars,Petrol-Electric (Plug-In),125
2017-01,Cars,Petrol-CNG,1677
2017-01,Cars,CNG,0
2017-01,Cars,Electric,12
2017-01,Cars,Diesel-Electric,22
2017-01,Taxis,Petrol,235
2017-01,Taxis,Diesel,23410
2017-01,Taxis,Petrol-Electric,2537
2017-01,Taxis,Petrol-CNG,1020
2017-01,Taxis,CNG,0
2017-01,Motor-cycles,Petrol,142236
2017-01,Motor-cycles,Electric,2
2017-01,Goods & Other Vehicles,Petrol,7042
2017-01,Goods & Other Vehicles,Diesel,136602
2017-01,Goods & Other Vehicles,Petrol-Electric,1
2017-01,Goods & Other Vehicles,Petrol-CNG,5
2017-01,Goods & Other Vehicles,CNG,3
2017-01,Goods & Other Vehicles,Electric,18
2017-01,Goods & Other Vehicles,Diesel-Electric,7
2017-01,Buses,Petrol,73
2017-01,Buses,Diesel,18263
2017-01,Buses,Petrol-CNG,2
2017-01,Buses,CNG,12
2017-01,Buses,Electric,1
2017-01,Buses,Diesel-Electric,3
2017-02,Cars,Petrol,577180
2017-02,Cars,Diesel,11242
2017-02,Cars,Petrol-Electric,11201
2017-02,Cars,Petrol-Electric (Plug-In),127
2017-02,Cars,Petrol-CNG,1667
2017-02,Cars,CNG,0
2017-02,Cars,Electric,12
2017-02,Cars,Diesel-Electric,22
2017-02,Taxis,Petrol,205
2017-02,Taxis,Diesel,23208
2017-02,Taxis,Petrol-Electric,2566
2017-02,Taxis,Petrol-CNG,1007
2017-02,Taxis,CNG,0
2017-02,Motor-cycles,Petrol,142294
2017-02,Motor-cycles,Electric,2
2017-02,Goods & Other Vehicles,Petrol,6860
2017-02,Goods & Other Vehicles,Diesel,136312
2017-02,Goods & Other Vehicles,Petrol-Electric,1
2017-02,Goods & Other Vehicles,Petrol-CNG,5
2017-02,Goods & Other Vehicles,CNG,3
2017-02,Goods & Other Vehicles,Electric,18
2017-02,Goods & Other Vehicles,Diesel-Electric,7
2017-02,Buses,Petrol,70
2017-02,Buses,Diesel,18252
2017-02,Buses,Petrol-CNG,2
2017-02,Buses,CNG,12
2017-02,Buses,Electric,1
2017-02,Buses,Diesel-Electric,3
2017-03,Cars,Petrol,577069
2017-03,Cars,Diesel,11712
2017-03,Cars,Petrol-Electric,11907
2017-03,Cars,Petrol-Electric (Plug-In),129
2017-03,Cars,Petrol-CNG,1661
2017-03,Cars,CNG,0
2017-03,Cars,Electric,12
2017-03,Cars,Diesel-Electric,22
2017-03,Taxis,Petrol,193
2017-03,Taxis,Diesel,22931
2017-03,Taxis,Petrol-Electric,2611
2017-03,Taxis,Petrol-CNG,999
2017-03,Taxis,CNG,0
2017-03,Motor-cycles,Petrol,142086
2017-03,Motor-cycles,Electric,2
2017-03,Goods & Other Vehicles,Petrol,5305
2017-03,Goods & Other Vehicles,Diesel,132799
2017-03,Goods & Other Vehicles,Petrol-Electric,1
2017-03,Goods & Other Vehicles,Petrol-CNG,4
2017-03,Goods & Other Vehicles,CNG,3
2017-03,Goods & Other Vehicles,Electric,18
2017-03,Goods & Other Vehicles,Diesel-Electric,7
2017-03,Buses,Petrol,55
2017-03,Buses,Diesel,18044
2017-03,Buses,Petrol-CNG,2
2017-03,Buses,CNG,12
2017-03,Buses,Electric,1
2017-03,Buses,Diesel-Electric,3
2017-04,Cars,Petrol,576452
2017-04,Cars,Diesel,12106
2017-04,Cars,Petrol-Electric,12411
2017-04,Cars,Petrol-Electric (Plug-In),131
2017-04,Cars,Petrol-CNG,1650
2017-04,Cars,CNG,0
2017-04,Cars,Electric,12
2017-04,Cars,Diesel-Electric,22
2017-04,Taxis,Petrol,179
2017-04,Taxis,Diesel,22733
2017-04,Taxis,Petrol-Electric,2600
2017-04,Taxis,Petrol-CNG,964
2017-04,Taxis,CNG,0
2017-04,Motor-cycles,Petrol,141692
2017-04,Motor-cycles,Electric,2
2017-04,Goods & Other Vehicles,Petrol,4981
2017-04,Goods & Other Vehicles,Diesel,132297
2017-04,Goods & Other Vehicles,Petrol-Electric,1
2017-04,Goods & Other Vehicles,Petrol-CNG,4
2017-04,Goods & Other Vehicles,CNG,3
2017-04,Goods & Other Vehicles,Electric,18
2017-04,Goods & Other Vehicles,Diesel-Electric,7
2017-04,Buses,Petrol,52
2017-04,Buses,Diesel,18040
2017-04,Buses,Petrol-CNG,1
2017-04,Buses,CNG,12
2017-04,Buses,Electric,1
2017-04,Buses,Diesel-Electric,3
2017-05,Cars,Petrol,576705
2017-05,Cars,Diesel,12510
2017-05,Cars,Petrol-Electric,13169
2017-05,Cars,Petrol-Electric (Plug-In),132
2017-05,Cars,Petrol-CNG,1604
2017-05,Cars,CNG,0
2017-05,Cars,Electric,12
2017-05,Cars,Diesel-Electric,22
2017-05,Taxis,Petrol,172
2017-05,Taxis,Diesel,22390
2017-05,Taxis,Petrol-Electric,2748
2017-05,Taxis,Petrol-CNG,862
2017-05,Taxis,CNG,0
2017-05,Motor-cycles,Petrol,141588
2017-05,Motor-cycles,Electric,2
2017-05,Goods & Other Vehicles,Petrol,4992
2017-05,Goods & Other Vehicles,Diesel,132989
2017-05,Goods & Other Vehicles,Petrol-Electric,1
2017-05,Goods & Other Vehicles,Petrol-CNG,4
2017-05,Goods & Other Vehicles,CNG,3
2017-05,Goods & Other Vehicles,Electric,18
2017-05,Goods & Other Vehicles,Diesel-Electric,7
2017-05,Buses,Petrol,51
2017-05,Buses,Diesel,18068
2017-05,Buses,Petrol-CNG,1
2017-05,Buses,CNG,12
2017-05,Buses,Electric,1
2017-05,Buses,Diesel-Electric,3
2017-06,Cars,Petrol,577177
2017-06,Cars,Diesel,13008
2017-06,Cars,Petrol-Electric,14139
2017-06,Cars,Petrol-Electric (Plug-In),132
2017-06,Cars,Petrol-CNG,1242
2017-06,Cars,CNG,0
2017-06,Cars,Electric,12
2017-06,Cars,Diesel-Electric,22
2017-06,Taxis,Petrol,160
2017-06,Taxis,Diesel,21916
2017-06,Taxis,Petrol-Electric,2901
2017-06,Taxis,Petrol-CNG,722
2017-06,Taxis,CNG,0
2017-06,Motor-cycles,Petrol,141501
2017-06,Motor-cycles,Electric,2
2017-06,Goods & Other Vehicles,Petrol,5044
2017-06,Goods & Other Vehicles,Diesel,133771
2017-06,Goods & Other Vehicles,Petrol-Electric,1
2017-06,Goods & Other Vehicles,Petrol-CNG,3
2017-06,Goods & Other Vehicles,CNG,3
2017-06,Goods & Other Vehicles,Electric,18
2017-06,Goods & Other Vehicles,Diesel-Electric,7
2017-06,Buses,Petrol,51
2017-06,Buses,Diesel,18115
2017-06,Buses,Petrol-CNG,1
2017-06,Buses,CNG,12
2017-06,Buses,Electric,1
2017-06,Buses,Diesel-Electric,3
2017-07,Cars,Petrol,576287
2017-07,Cars,Diesel,13466
2017-07,Cars,Petrol-Electric,15420
2017-07,Cars,Petrol-Electric (Plug-In),132
2017-07,Cars,Petrol-CNG,1164
2017-07,Cars,CNG,0
2017-07,Cars,Electric,12
2017-07,Cars,Diesel-Electric,22
2017-07,Taxis,Petrol,149
2017-07,Taxis,Diesel,21506
2017-07,Taxis,Petrol-Electric,3085
2017-07,Taxis,Petrol-CNG,585
2017-07,Taxis,CNG,0
2017-07,Motor-cycles,Petrol,141532
2017-07,Motor-cycles,Electric,2
2017-07,Goods & Other Vehicles,Petrol,5093
2017-07,Goods & Other Vehicles,Diesel,134322
2017-07,Goods & Other Vehicles,Petrol-Electric,1
2017-07,Goods & Other Vehicles,Petrol-CNG,3
2017-07,Goods & Other Vehicles,CNG,3
2017-07,Goods & Other Vehicles,Electric,31
2017-07,Goods & Other Vehicles,Diesel-Electric,7
2017-07,Buses,Petrol,50
2017-07,Buses,Diesel,18176
2017-07,Buses,Petrol-CNG,1
2017-07,Buses,CNG,12
2017-07,Buses,Electric,1
2017-07,Buses,Diesel-Electric,3
2017-08,Cars,Petrol,575674
2017-08,Cars,Diesel,13874
2017-08,Cars,Petrol-Electric,16703
2017-08,Cars,Petrol-Electric (Plug-In),152
2017-08,Cars,Petrol-CNG,1111
2017-08,Cars,CNG,0
2017-08,Cars,Electric,22
2017-08,Cars,Diesel-Electric,22
2017-08,Taxis,Petrol,149
2017-08,Taxis,Diesel,20972
2017-08,Taxis,Petrol-Electric,3302
2017-08,Taxis,Petrol-CNG,440
2017-08,Taxis,CNG,0
2017-08,Motor-cycles,Petrol,141313
