month,make,number
2016-08,OPEL,34
2016-08,PAGANI,0
2016-08,PERODUA,27
2016-08,PEUGEOT,82
2016-08,PORSCHE,64
2016-08,PRINCE,1
2016-08,PROTON,49
2016-08,RENAULT,37
2016-08,ROLLS ROYCE,5
2016-08,ROVER,0
2016-08,SAAB,14
2016-08,SKODA,11
2016-08,SMART,1
2016-08,SSANGYONG,4
2016-08,SUBARU,256
2016-08,SUZUKI,289
2016-08,TD CARS,0
2016-08,TOYOTA,2438
2016-08,TRIUMPH,0
2016-08,VOLKSWAGEN,394
2016-08,VOLVO,129
2016-08,WULING,1
2016-08,ZOTYE,1
2016-09,ALFA ROMEO,19
2016-09,ALPINA,0
2016-09,ASTON MARTIN,3
2016-09,AUDI,192
2016-09,AUSTIN,0
2016-09,B.M.W.,621
2016-09,BENTLEY,4
2016-09,BERTONE,0
2016-09,CATERHAM,0
2016-09,CHANA,0
2016-09,CHERY,19
2016-09,CHEVROLET,141
2016-09,CHRYSLER,8
2016-09,CITROEN,53
2016-09,DAIHATSU,36
2016-09,DAIMLER,0
2016-09,DODGE,2
2016-09,DONGFENG,1
2016-09,FERRARI,20
2016-09,FIAT,43
2016-09,FORD,64
2016-09,FOTON,0
2016-09,FRAZER,0
2016-09,GEELY,7
2016-09,GOLDEN DRAGON,0
2016-09,HAFEI,3
2016-09,HONDA,1460
2016-09,HUMMER,2
2016-09,HYUNDAI,362
2016-09,INFINITI,2
2016-09,JAGUAR,37
2016-09,JEEP,6
2016-09,KIA,242
2016-09,LAMBORGHINI,8
2016-09,LAND ROVER,20
2016-09,LOTUS,1
2016-09,M.G.,0
2016-09,MASERATI,10
2016-09,MAZDA,329
2016-09,Mclaren,2
2016-09,MERCEDES BENZ,618
2016-09,MINI,65
2016-09,MITSUBISHI,474
2016-09,MITSUOKA,2
2016-09,MORGAN,0
2016-09,MORRIS,2
2016-09,NAZA,0
2016-09,NISSAN,602
2016-09,OPEL,22
2016-09,PAGANI,0
2016-09,PERODUA,17
2016-09,PEUGEOT,78
2016-09,PORSCHE,57
2016-09,PRINCE,0
