period,category,type,cumulative_number
2018-Q4,Buses,Private Buses,163
2018-Q4,Buses,Private Hire Buses,41
2018-Q4,Buses,Excursion Buses,411
2018-Q4,Tax Exempted Vehicles,Cars and Station-wagons,219
2018-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,41
2018-Q4,Tax Exempted Vehicles,Buses,35
2018-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,909
2019-Q1,Cars and Station-wagons,Private cars,16684
2019-Q1,Cars and Station-wagons,Company cars,835
2019-Q1,Cars and Station-wagons,Tuition cars,10
2019-Q1,Cars and Station-wagons,Private Hire (Self-Drive) cars,722
2019-Q1,Cars and Station-wagons,Private Hire (Chauffeur) cars,1359
2019-Q1,Cars and Station-wagons,Off peak cars,837
2019-Q1,Taxis,Taxis,563
2019-Q1,Motorcycles and Scooters,Motorcycles and Scooters,4925
2019-Q1,Goods and Other Vehicles,Goods-cum-passengers,45
2019-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2621
2019-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),455
2019-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),165
2019-Q1,Buses,Public Buses,91
2019-Q1,Buses,School Buses,12
2019-Q1,Buses,Private Buses,43
2019-Q1,Buses,Private Hire Buses,9
2019-Q1,Buses,Excursion Buses,138
2019-Q1,Tax Exempted Vehicles,Cars and Station-wagons,59
2019-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,14
2019-Q1,Tax Exempted Vehicles,Buses,3
2019-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,185
2019-Q2,Cars and Station-wagons,Private cars,31383
2019-Q2,Cars and Station-wagons,Company cars,1953
2019-Q2,Cars and Station-wagons,Tuition cars,29
2019-Q2,Cars and Station-wagons,Private Hire (Self-Drive) cars,1548
2019-Q2,Cars and Station-wagons,Private Hire (Chauffeur) cars,3258
2019-Q2,Cars and Station-wagons,Off peak cars,1590
2019-Q2,Taxis,Taxis,1476
2019-Q2,Motorcycles and Scooters,Motorcycles and Scooters,9765
2019-Q2,Goods and Other Vehicles,Goods-cum-passengers,81
2019-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),5394
2019-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),932
2019-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),404
2019-Q2,Buses,Public Buses,127
2019-Q2,Buses,School Buses,26
2019-Q2,Buses,Private Buses,88
2019-Q2,Buses,Private Hire Buses,23
2019-Q2,Buses,Excursion Buses,288
2019-Q2,Tax Exempted Vehicles,Cars and Station-wagons,107
2019-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,14
2019-Q2,Tax Exempted Vehicles,Buses,12
2019-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,374
2019-Q3,Cars and Station-wagons,Private cars,44171
2019-Q3,Cars and Station-wagons,Company cars,2902
2019-Q3,Cars and Station-wagons,Tuition cars,76
2019-Q3,Cars and Station-wagons,Private Hire (Self-Drive) cars,2664
2019-Q3,Cars and Station-wagons,Private Hire (Chauffeur) cars,5449
2019-Q3,Cars and Station-wagons,Off peak cars,2153
2019-Q3,Taxis,Taxis,2080
2019-Q3,Motorcycles and Scooters,Motorcycles and Scooters,14750
2019-Q3,Goods and Other Vehicles,Goods-cum-passengers,129
2019-Q3,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),7744
2019-Q3,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1430
2019-Q3,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),647
2019-Q3,Buses,Public Buses,150
2019-Q3,Buses,School Buses,37
2019-Q3,Buses,Private Buses,136
2019-Q3,Buses,Private Hire Buses,31
2019-Q3,Buses,Excursion Buses,459
2019-Q3,Tax Exempted Vehicles,Cars and Station-wagons,119
2019-Q3,Tax Exempted Vehicles,Motorcycles and Scooters,14
2019-Q3,Tax Exempted Vehicles,Buses,20
2019-Q3,Tax Exempted Vehicles,Goods and Other Vehicles,578
2019-Q4,Cars and Station-wagons,Private cars,54987
2019-Q4,Cars and Station-wagons,Company cars,3794
2019-Q4,Cars and Station-wagons,Tuition cars,122
2019-Q4,Cars and Station-wagons,Private Hire (Self-Drive) cars,3632
2019-Q4,Cars and Station-wagons,Private Hire (Chauffeur) cars,7157
2019-Q4,Cars and Station-wagons,Off peak cars,2513
2019-Q4,Taxis,Taxis,3549
2019-Q4,Motorcycles and Scooters,Motorcycles and Scooters,19343
2019-Q4,Goods and Other Vehicles,Goods-cum-passengers,185
2019-Q4,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),9699
2019-Q4,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),1816
2019-Q4,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),903
2019-Q4,Buses,Public Buses,151
2019-Q4,Buses,School Buses,52
2019-Q4,Buses,Private Buses,182
2019-Q4,Buses,Private Hire Buses,42
2019-Q4,Buses,Excursion Buses,651
2019-Q4,Tax Exempted Vehicles,Cars and Station-wagons,139
2019-Q4,Tax Exempted Vehicles,Motorcycles and Scooters,14
2019-Q4,Tax Exempted Vehicles,Buses,24
2019-Q4,Tax Exempted Vehicles,Goods and Other Vehicles,830
2020-Q1,Cars and Station-wagons,Private cars,11248
2020-Q1,Cars and Station-wagons,Company cars,716
2020-Q1,Cars and Station-wagons,Tuition cars,10
2020-Q1,Cars and Station-wagons,Private Hire (Self-Drive) cars,993
2020-Q1,Cars and Station-wagons,Private Hire (Chauffeur) cars,1233
2020-Q1,Cars and Station-wagons,Off peak cars,461
2020-Q1,Taxis,Taxis,398
2020-Q1,Motorcycles and Scooters,Motorcycles and Scooters,3500
2020-Q1,Goods and Other Vehicles,Goods-cum-passengers,54
2020-Q1,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),1819
2020-Q1,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),322
2020-Q1,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),195
2020-Q1,Buses,Public Buses,36
2020-Q1,Buses,School Buses,11
2020-Q1,Buses,Private Buses,47
2020-Q1,Buses,Private Hire Buses,5
2020-Q1,Buses,Excursion Buses,110
2020-Q1,Tax Exempted Vehicles,Cars and Station-wagons,38
2020-Q1,Tax Exempted Vehicles,Motorcycles and Scooters,88
2020-Q1,Tax Exempted Vehicles,Buses,19
2020-Q1,Tax Exempted Vehicles,Goods and Other Vehicles,322
2020-Q2,Cars and Station-wagons,Private cars,12593
2020-Q2,Cars and Station-wagons,Company cars,824
2020-Q2,Cars and Station-wagons,Tuition cars,11
2020-Q2,Cars and Station-wagons,Private Hire (Self-Drive) cars,1181
2020-Q2,Cars and Station-wagons,Private Hire (Chauffeur) cars,1326
2020-Q2,Cars and Station-wagons,Off peak cars,517
2020-Q2,Taxis,Taxis,452
2020-Q2,Motorcycles and Scooters,Motorcycles and Scooters,4944
2020-Q2,Goods and Other Vehicles,Goods-cum-passengers,61
2020-Q2,Goods and Other Vehicles,LGVs ( mlw <= 3.5 mt),2490
2020-Q2,Goods and Other Vehicles,HGVs ( mlw >3.5 - 16 mt),437
2020-Q2,Goods and Other Vehicles,VHGVs ( mlw > 16 mt),238
2020-Q2,Buses,Public Buses,101
2020-Q2,Buses,School Buses,17
2020-Q2,Buses,Private Buses,68
2020-Q2,Buses,Private Hire Buses,6
2020-Q2,Buses,Excursion Buses,118
2020-Q2,Tax Exempted Vehicles,Cars and Station-wagons,41
2020-Q2,Tax Exempted Vehicles,Motorcycles and Scooters,128
2020-Q2,Tax Exempted Vehicles,Buses,20
2020-Q2,Tax Exempted Vehicles,Goods and Other Vehicles,423
